competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:7996,Harstad IBK,11,16,22,,,eliteserien 25/26 regular season league
sr:competition:318,sr:season:132808,Eliteserien 25/26,sr:competitor:610438,Vaalerenga IF,12,0,22,,,eliteserien 25/26 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:25902,Tatran Stresovice,1,63,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44609,Florbal Mlada Boleslav,2,61,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:37852,1. SC Vitkovice Ostrava,3,60,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44614,Florbal Chodov,4,57,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44604,Sparta Prague,5,51,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44610,FbS Bohemians Prague,6,50,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44607,FBC Liberec,7,42,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44608,FBC Ostrava,8,34,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:331853,FBC Ceska Lipa,9,31,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:173258,Sokol Kral Vinohrady,10,31,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:630970,Black Angels Prague,11,26,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:940129,FB Hurrican Karlovy Vary,12,18,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:1033945,Buchis,13,14,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:108081,Extraliga 23/24,sr:competitor:44611,Sokoli Pardubice,14,8,26,,,superliga 23/24 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44609,Florbal Mlada Boleslav,1,69,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44610,FbS Bohemians Prague,2,61,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:25902,Tatran Stresovice,3,61,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:37852,1. SC Vitkovice Ostrava,4,54,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44604,Sparta Prague,5,49,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44607,FBC Liberec,6,46,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44614,Florbal Chodov,7,43,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:331853,FBC Ceska Lipa,8,32,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:173258,Sokol Kral Vinohrady,9,30,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44606,FBC Kladno,10,27,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44611,Sokoli Pardubice,11,27,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:940129,FB Hurrican Karlovy Vary,12,23,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44608,FBC Ostrava,13,21,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:122215,Extraliga 24/25,sr:competitor:44605,Bulldogs Brno,14,3,26,,,superliga 24/25 regular season league
sr:competition:829,sr:season:131605,Extraliga 25/26,sr:competitor:44609,Florbal Mlada Boleslav,1,76,26,,,superliga 25/26 regular season league
sr:competition:829,sr:season:131605,Extraliga 25/26,sr:competitor:44610,FbS Bohemians Prague,2,68,26,,,superliga 25/26 regular season league
